Country,ISO3,CPI score 2017,CPI score 2016,CPI score 2015,CPI score 2014,CPI Score 2013,CPI Score 2012
Cabo Verde,CPV,55,59,55,57,58,60
Rwanda,RWA,55,54,54,49,53,53
Saint Lucia,LCA,55,60,,71,71,71
"Korea, South",KOR,54,53,54,55,55,56
Grenada,GRD,52,56,,,,
Namibia,NAM,51,52,53,49,48,48
Italy,ITA,50,47,44,43,43,42
Mauritius,MUS,50,54,53,54,52,57
Slovakia,SVK,50,51,51,50,47,46
Croatia,HRV,49,49,51,48,48,46
Saudi Arabia,SAU,49,46,52,49,46,44
Greece,GRC,48,44,46,43,40,36
Jordan,JOR,48,48,53,49,45,48
Romania,ROU,48,48,46,43,43,44
Cuba,CUB,47,47,47,46,46,48
Malaysia,MYS,47,49,50,52,50,49
Montenegro,MNE,46,45,44,42,44,41
Sao Tome and Principe,STP,46,46,42,42,42,42
Hungary,HUN,45,48,51,54,54,55
Senegal,SEN,45,45,44,43,41,36
Belarus,BLR,44,40,32,31,29,31
Jamaica,JAM,44,39,41,38,38,38
Oman,OMN,44,45,45,45,47,47
Bulgaria,BGR,43,41,41,43,41,41
South Africa,ZAF,43,45,44,44,42,43
Vanuatu,VUT,43,,,,,
Burkina Faso,BFA,42,42,38,38,38,38
Lesotho,LSO,42,39,44,49,49,45
Tunisia,TUN,42,41,38,40,41,41
China,CHN,41,40,37,36,40,39
Serbia,SRB,41,42,40,41,42,39
Suriname,SUR,41,45,36,36,36,37
Trinidad and Tobago,TTO,41,35,39,38,38,39
Ghana,GHA,40,43,47,48,46,45
India,IND,40,40,38,38,36,36
Morocco,MAR,40,37,36,39,37,37
Turkey,TUR,40,41,42,45,50,49
Argentina,ARG,39,36,32,34,34,35
Benin,BEN,39,36,37,39,36,36
Kosovo,KSV,39,36,33,33,33,34
Kuwait,KWT,39,41,49,44,43,44
Solomon Islands,SLB,39,42,,,,
Swaziland,SWZ,39,,,43,39,37
Albania,ALB,38,39,36,33,31,33
Bosnia and Herzegovina,BIH,38,39,38,39,42,42
Guyana,GUY,38,34,29,30,27,28
Sri Lanka,LKA,38,36,37,38,37,40
Timor-Leste,TLS,38,35,28,28,30,33
Brazil,BRA,37,40,38,43,42,43
Colombia,COL,37,37,37,37,36,36
Indonesia,IDN,37,37,36,34,32,32
Panama,PAN,37,38,39,37,35,38
Peru,PER,37,35,36,38,38,38
Thailand,THA,37,35,38,38,35,37
Zambia,ZMB,37,38,38,38,38,37
Bahrain,BHR,36,43,51,49,48,51
Côte D'Ivoire,CIV,36,34,32,32,27,29
Mongolia,MNG,36,38,39,39,38,36
Tanzania,TZA,36,32,30,31,33,35
Armenia,ARM,35,33,35,37,36,34
Ethiopia,ETH,35,34,33,33,33,33
Macedonia,MKD,35,37,42,45,44,43
Vietnam,VNM,35,33,31,31,31,31
Philippines,PHL,34,35,35,38,36,34
Algeria,DZA,33,34,36,36,36,34
Bolivia,BOL,33,33,34,35,34,34
El Salvador,SLV,33,36,39,39,38,38
Maldives,MDV,33,36,,,,
Niger,NER,33,35,34,35,34,33
Ecuador,ECU,32,31,32,33,35,32
Egypt,EGY,32,34,36,37,32,32
Gabon,GAB,32,35,34,37,34,35
Pakistan,PAK,32,32,30,29,28,27
Togo,TGO,32,32,32,29,29,30
Azerbaijan,AZE,31,30,29,29,28,27
Djibouti,DJI,31,30,34,34,36,36
Kazakhstan,KAZ,31,29,28,29,26,28
Liberia,LBR,31,37,37,37,38,41
Malawi,MWI,31,31,31,33,37,37
Mali,MLI,31,32,35,32,28,34
Nepal,NPL,31,29,27,29,31,27
Moldova,MDA,31,30,33,35,35,36
Gambia,GMB,30,26,28,29,28,34
Iran,IRN,30,29,27,27,25,28
Myanmar,MMR,30,28,22,21,21,15
Sierra Leone,SLE,30,30,29,31,30,31
Ukraine,UKR,30,29,27,26,25,26
Dominican Republic,DOM,29,31,33,32,29,32
Honduras,HND,29,30,31,29,26,28
Kyrgyzstan,KGZ,29,28,28,27,24,24
Laos,LAO,29,30,25,25,26,21
Mexico,MEX,29,30,31,35,34,34
Papua New Guinea,PNG,29,28,25,25,25,25
Paraguay,PRY,29,30,27,24,24,25
Russia,RUS,29,29,29,27,28,28
Bangladesh,BGD,28,26,25,25,27,26
Guatemala,GTM,28,28,28,32,29,33
Kenya,KEN,28,26,25,25,27,27
Lebanon,LBN,28,28,28,27,28,30
Mauritania,MRT,28,27,31,30,30,31
Comoros,COM,27,24,26,26,28,28
Guinea,GIN,27,27,25,25,24,24
Nigeria,NGA,27,28,26,27,25,27
Nicaragua,NIC,26,26,27,28,28,29
Uganda,UGA,26,25,25,26,26,29
Cameroon,CMR,25,26,27,27,25,26
Mozambique,MOZ,25,27,31,31,30,31
Madagascar,MDG,24,26,28,28,28,32
Central African Republic,CAF,23,20,24,24,25,26
Burundi,BDI,22,20,21,20,21,19
Haiti,HTI,22,20,17,19,19,19
Uzbekistan,UZB,22,21,19,18,17,17
Zimbabwe,ZWE,22,22,21,21,21,20
Cambodia,KHM,21,21,21,21,20,22
Congo,COG,21,20,23,23,22,26
Democratic Republic of the Congo,COD,21,21,22,22,22,21
Tajikistan,TJK,21,25,26,23,22,22
Chad,TCD,20,20,22,22,19,19
Eritrea,ERI,20,18,18,18,20,25
Angola,AGO,19,18,15,19,23,22
Turkmenistan,TKM,19,22,18,17,17,17
Iraq,IRQ,18,17,16,16,16,18
Venezuela,VEN,18,17,17,19,20,19
"Korea, North",PRK,17,12,8,8,8,8
Equatorial Guinea,GNQ,17,,,,19,20
Guinea Bissau,GNB,17,16,17,19,19,25
Libya,LBY,17,14,16,18,15,21
Sudan,SDN,16,14,12,11,11,13
Yemen,YEM,16,14,18,19,18,23
Afghanistan,AFG,15,15,11,12,8,8
Syria,SYR,14,13,18,20,17,26
South Sudan,SSD,12,11,15,15,14,
Somalia,SOM,9,10,8,8,8,8
Puerto Rico,PRI,,,,63,62,63
