,Unnamed: 0,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",CPI,Crime Index,Safety Index,GDP,Happiness Rank,Happiness Score,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Dystopia Residual,underFiveMortality,Life expectancy at birth (years),Life expectancy at age 60 (years)
310,310,Congo (Brazzaville),2015,4.6908302310000005,8.620271683,0.642136157,54.31418228,0.85017246,0.12388,0.8413594959999999,0.606044173,0.260670513,0.49927032,-0.771595478,-1.123118877,2.9547448160000003,0.6298980710000001,,0.481,0.66782403,0.0,0.0,0.0,0.0,139,3.989,0.06682,,,0.67866,0.6629,0.31051,0.41466,0.11686,1.68135,0.0,0.0,0.0
318,318,Congo (Kinshasa),2015,3.902741671,6.620736122,0.767235577,50.06964874,0.5737637879999999,0.24834,0.8663780090000001,0.589130759,0.301049381,0.274324,-1.727346778,-1.458134174,1.777597308,0.455473989,,0.4215,0.4594861870000001,0.0,0.0,0.0,0.0,120,4.517,0.0368,,,0.0,1.0012,0.09806,0.22605,0.07625,2.86712,0.0,0.0,0.0
330,330,Costa Rica,2015,6.854004383,9.610069275,0.8782729509999999,69.53182983,0.906925678,0.25497,0.761419415,0.84970957,0.286440313,0.261169255,0.916762531,0.538675547,2.2636065480000003,0.33026045600000004,0.482,0.4913125,0.477598011,55.0,63.05,36.95,55.376999999999995,12,7.226,0.04454,,,0.95578,1.23788,0.8602700000000001,0.63376,0.10583,3.17728,9.1,79.6,24.2
340,340,Croatia,2015,5.205438137,9.940731049,0.7683634159999999,67.3684845,0.6935230490000001,0.05444,0.848545551,0.608886182,0.294019341,0.364868402,0.573095977,0.330905825,1.785050154,0.342920244,,0.323333333,0.321699649,51.0,29.34,70.66,49.425,62,5.759,0.04394,,,1.08254,0.79624,0.78805,0.25883,0.0243,2.75414,4.8,78.0,21.5
351,351,Cyprus,2015,5.439161301,10.3216238,0.769556105,72.4577713,0.62803483,0.30638000000000004,0.892795146,0.746730089,0.383106411,0.203454718,0.791189313,1.039629698,2.402444124,0.441693842,,0.32490909100000004,0.417794615,61.0,31.56,68.44,19.687,67,5.689,0.0558,,,1.20813,0.89318,0.92356,0.40672,0.06146,1.88931,2.7,80.5,22.5
361,361,Czech Republic,2015,6.608017445,10.32893276,0.911362588,70.30318451,0.8084841970000001,0.10686,0.8864674570000001,0.750773847,0.206080526,0.435425878,1.010938764,0.931855083,1.802234173,0.272734463,,0.264727273,0.265170455,56.0,32.89,67.11,186.83,31,6.505,0.04168,,,1.17898,1.20643,0.84483,0.46364,0.02652,2.67782,0.0,0.0,0.0
373,373,Denmark,2015,7.514424801,10.72455978,0.9597013,70.96250153,0.94143641,0.34139,0.191016391,0.8292174940000001,0.217577577,0.579888642,1.225186348,1.959059715,1.61830771,0.215360165,,0.267090909,0.537219882,91.0,25.71,74.29,301.29900000000004,3,7.527,0.033280000000000004,,,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,2.4920400000000003,4.3,80.6,23.3
389,389,Dominican Republic,2015,5.061862468999999,9.500883102000001,0.893197775,63.17458725,0.856025338,0.21684,0.7552881840000001,0.713907719,0.295253098,0.447033852,0.195477962,-0.431532443,2.927931547,0.578429699,0.449,0.4886875,0.510094047,33.0,67.72,32.28,68.197,98,4.885,0.07446,,,0.8953700000000001,1.17202,0.66825,0.57672,0.14234000000000002,1.21305,31.5,73.9,22.0
401,401,Ecuador,2015,5.964075089,9.282580376,0.855889201,66.95172882,0.800870478,0.11540999999999997,0.665827513,0.850546062,0.32294610100000004,0.522347212,-0.177853748,-0.8249437209999999,2.470919371,0.414300501,0.465,0.505928571,0.36206609,32.0,54.04,45.96,99.29,48,5.975,0.04528,,,0.8640200000000001,0.99903,0.79075,0.48574,0.1809,2.53942,21.5,76.2,22.7
413,413,Egypt,2015,4.7625384330000005,9.219856262,0.7297442559999999,61.25401688,0.659261465,0.11291,0.684498072,0.609594345,0.344331503,0.7716127629999999,-1.340729356,-0.70613277,2.184174061,0.458615512,0.318,0.3122,0.353561848,36.0,60.14,39.86,332.075,135,4.194,0.0326,,,0.8818,0.747,0.61712,0.17288,0.06324,1.59927,23.7,70.9,17.4
